ID Jemaat	Nama Jemaat	Keterangan	Latitude	Longitude	ID Mupel	Nama KMJ	Nomor Telepon	Jumlah Sektor	Jumlah KK	Jumlah Jiwa
22-05-GB	GETSEMANI	Balikpapan	-1,175048	116,879942	M - 22					
22-06-IB	IMMANUEL	Balikpapan	-1,273095	116,837125	M - 22					
22-07-KK	KANAAN	Kenangan	-1,085724915	116,6871513	M - 22	Pdt. Dr. Stella Yessy Exlentya Pattipeilohy, S.Si-Teol., M.Th.	+62 812 2870 1060	4	67	219
22-09-PB	PNIEL	Balikpapan	-1,276647	116,810989	M - 22					
22-10-SK	SILOAM	Krayan Paser	-1,597741	116,267753	M - 22					
22-12-SS	SION	Samuntai Paser	-1,674532	116,132162	M - 22					
22-11-SB	SYALOOM		-1,259148117	116,9158052	M - 22	Pdt. Margaretha Kamban	+62 813 2060 1152	9	445	1477
22-13-AA	ALAT ALA NGOSANG	Long Gelang - Paser	-1,512832	116,143141	M - 22					
23-06-IS	IMMANUEL	Samarinda	-0,500729	117,140012	M - 23	Pdt. Elly Dominggas Pitoy - de Bell	+62 818 7104 16	12	710	2276
23-01-AH	ANUGERAH	Kutai Kartanegara	-0,825397	117,248042	M - 23					
23-02-ES	EBENHAEZER	Samarinda	-0,249473	115,702925	M - 23	"Pdt. Fenovri Setyasusanto Satata	: "	+62 081 3556 68277	8	357	1220
23-03-ET	EFATA	Tenggarong	-0,419525	116,985602	M - 23	Pdt. Feggy M. Salindeho-Beslar	+62 813 7892 9991	6	470	1136
23-04-GT	GLORIA	Tenggarong	-0,415562	116,966243	M - 23					
23-14-HS	HEBRON	Samarinda Seberang	-0,528403	117,14844	M - 23	Pdt. Candra N. K. Ch. Wila, S.Si-Teol	+62 813 4661 6727	3		
23-15-HS	HOSANA	Loa Ulung	-0,371464	116,995516	M - 23					
23-07-MS	MARANATHA	Sungai Sanga	-0,666553	117,231112	M - 23					
23-13-ML	MARTURIA	Loa Janan	-0,610366	117,088631	M - 23					
23-16-PK	PANCARAN KASIH	Bengalon	0,729572	117,541234	M - 23					
23-08-PS	PELITA KASIH	Sangatta	0,506578415	117,5396677	M - 23	Pdt. Frenky Vinsentius Latuihamallo, M.Si.	+62 822 2535 9307	3	168	586
23-09-SJ	SION	Jahab Kutai Kertanegara	-0,467995	116,969013	M - 23					
23-12-SG	SOLA GRACIA	Marang Kayu	-0,115595	117,421394	M - 23					
23-10-SM	SOLAFIDE	Muara Badak	-0,320709	117,426848	M - 23					
23-11-SK	SUMBER KASIH	Bontang	0,11803	117,477229	M - 23	Pdt. Frengky Iverson Manenat Tacoy, S.Si-Teol	+62 852 3222 4953	4	280	
23-17-TD	TELUK DALAM	Tenggarong Seberang	-0,368071668	117,1128577	M - 23					
24-05-MT	MARANATHA	Tanjung Selor	2,836363	117,36589	M - 24	Pdt. Septy Berpras Lillung-Sir, S.Si-Teol	+62 812 3210 0944	3	153	554
24-08-AJ	ANUGERAH	Tarakan	3,436799	117,545403	M - 24					
24-09-BT	BETHEL	Teras Nawang	2,879317	117,340664	M - 24					
24-01-BM	BETLEHEM	Malinau	3,536563	116,614233	M - 24					
24-02-EB	EFFATHA	Pulau Bunyu	3,471139	117,85539	M - 24					
24-03-HB	HOSIANA	Berau	2,152108	117,495647	M - 24					
24-04-IT	IMMANUEL	Tarakan	3,311659	117,594525	M - 24					
23-05-IA	IMMANUEL	Apau Kayan	1,791732	114,901365	M - 24	Pdt. Timotius Eduard Lalala, S.Si.Teol.	+62 822 5569 1124	3	109	417
24-06-SN	SION	Nunukan	4,134391	117,651601	M - 24	Pdt. Meryani fedrika gimon 	+62 813 2643	3	350	1000
24-07-UP	U'UNG PENGELESAU	Pujungan	2,589072	115,796062	M - 24					
24-08-SI	SION	Tembudan	1,419313703	118,3574618	M - 24	Pdt. Olivia G. Siura-Salu	+62 812 8702 2316	2	62	242
24-09-FT	FETEPAY	Tarakan	3,363879	117,541852	M - 24					
24-10-SS	SUNGAI SEGAH	Tepian Buah	2,1868875	117,1105469	M - 24					
           19-02-IM	IMMANUEL	Makassar	-5,133369	119,40876	M - 19					
19-01-BK	BAHTERA KASIH	Makassar	-5,174725	119,448478	M - 19					
19-03-BM	BETHANIA	Makassar	-5,144598	119,418645	M - 19					
19-04-BR	BETHEL	Raha Muna	-4,794558	122,726892	M - 19					
19-05-BZ	BUKIT ZAITUN	Makassar	-5,174901	119,409966	M - 19					
19-06-IB	IMMANUEL	Baubau	-5,458554	122,612954	M - 19					
19-07-IM	IMMANUEL	Majene	-3,541933	118,974944	M - 19					
19-08-IP	IMMANUEL	Parepare	-4,010394	119,622249	M - 19					
19-10-IW	IMMANUEL	Watampone Bone	-4,539576	120,326089	M - 19					
19-11-KT	KANA TOJENG	Sungguminasa Gowa	-5,211449	119,458043	M - 19					
19-12-MM	MANGNGAMASEANG	Makassar	-5,145483	119,468499	M - 19					
19-13-PM	PAMMASE	Makassar	-5,088924	119,535097	M - 19					
19-14-PB	PELITA	Baras Pasangkayu	-1,562899	119,40121	M - 19	Pdt. Dominggus Andreas Boesday	+62 812 3136 8424	10	207	767
19-15-SB	SINAR KASIH	Baras Pasangkayu	-1,488742	119,40855	M - 19					
19-16-SS	SOLA FIDE	Sarudu Pasangkayu	-1,679154	119,340802	M - 19					
19-17-SK	SUMBER KASIH	Kendari	-3,972963	122,58705	M - 19	Pdt. Jovina Hutahaean - Luntungan	+62 823 5216 8608			
